date,county,parameter,arithmetic_mean,local_site_name,city,state,county_code,latitude,longitude,units_of_measure
2021-03-31,Los Angeles,Lead (TSP) LC,0.010457142857142858,ATSF (Exide),Commerce,California,37,34.0083,-118.1906,Micrograms/cubic meter (LC)
2021-03-31,Riverside,Lead (TSP) LC,0.0053,Rubidoux,Rubidoux,California,65,33.9996,-117.416,Micrograms/cubic meter (LC)
2021-03-31,San Bernardino,Lead (TSP) LC,0.0045,San Bernardino,San Bernardino,California,71,34.1067,-117.2741,Micrograms/cubic meter (LC)
2021-03-31,San Diego,Lead (TSP) LC,0.01865,Palomar Airport,Carlsbad,California,73,33.1309,-117.2724,Micrograms/cubic meter (LC)
2021-06-30,Los Angeles,Lead (TSP) LC,0.018414285714285716,ATSF (Exide),Commerce,California,37,34.0083,-118.1906,Micrograms/cubic meter (LC)
2021-06-30,Riverside,Lead (TSP) LC,0.0049,Rubidoux,Rubidoux,California,65,33.9996,-117.416,Micrograms/cubic meter (LC)
2021-06-30,San Bernardino,Lead (TSP) LC,0.0055,San Bernardino,San Bernardino,California,71,34.1067,-117.2741,Micrograms/cubic meter (LC)
2021-06-30,San Diego,Lead (TSP) LC,0.011949999999999999,Palomar Airport,Carlsbad,California,73,33.1309,-117.2724,Micrograms/cubic meter (LC)
2021-06-30,Santa Clara,Lead (TSP) LC,0.0535,Reid Hillview Airport,San Jose,California,85,37.3298,-121.8154,Micrograms/cubic meter (LC)
2021-09-30,Los Angeles,Lead (TSP) LC,0.009407142857142855,ATSF (Exide),Commerce,California,37,34.0083,-118.1906,Micrograms/cubic meter (LC)
2021-09-30,Riverside,Lead (TSP) LC,0.0043,Rubidoux,Rubidoux,California,65,33.9996,-117.416,Micrograms/cubic meter (LC)
2021-09-30,San Bernardino,Lead (TSP) LC,0.0059,San Bernardino,San Bernardino,California,71,34.1067,-117.2741,Micrograms/cubic meter (LC)
2021-09-30,San Diego,Lead (TSP) LC,0.0121,Palomar Airport,Carlsbad,California,73,33.1309,-117.2724,Micrograms/cubic meter (LC)
2021-09-30,Santa Clara,Lead (TSP) LC,0.0421,Reid Hillview Airport,San Jose,California,85,37.3298,-121.8154,Micrograms/cubic meter (LC)
2021-12-31,Los Angeles,Lead (TSP) LC,0.00870909090909091,Long Beach (South),Long Beach,California,37,33.7924,-118.1753,Micrograms/cubic meter (LC)
2021-12-31,Riverside,Lead (TSP) LC,0.0057,Rubidoux,Rubidoux,California,65,33.9996,-117.416,Micrograms/cubic meter (LC)
2021-12-31,San Bernardino,Lead (TSP) LC,0.0076,San Bernardino,San Bernardino,California,71,34.1067,-117.2741,Micrograms/cubic meter (LC)
2021-12-31,San Diego,Lead (TSP) LC,0.0133,Palomar Airport,Carlsbad,California,73,33.1309,-117.2724,Micrograms/cubic meter (LC)
2021-12-31,Santa Clara,Lead (TSP) LC,0.0362,Reid Hillview Airport,San Jose,California,85,37.3298,-121.8154,Micrograms/cubic meter (LC)
2022-03-31,Los Angeles,Lead (TSP) LC,0.014350000000000002,Long Beach (South),Long Beach,California,37,33.7924,-118.1753,Micrograms/cubic meter (LC)
2022-03-31,Riverside,Lead (TSP) LC,0.005,Rubidoux,Rubidoux,California,65,33.9996,-117.416,Micrograms/cubic meter (LC)
2022-03-31,San Bernardino,Lead (TSP) LC,0.0051,San Bernardino,San Bernardino,California,71,34.1067,-117.2741,Micrograms/cubic meter (LC)
2022-03-31,San Diego,Lead (TSP) LC,0.0132,Palomar Airport,Carlsbad,California,73,33.1309,-117.2724,Micrograms/cubic meter (LC)
2022-03-31,Santa Clara,Lead (TSP) LC,0.0259,Reid Hillview Airport,San Jose,California,85,37.3298,-121.8154,Micrograms/cubic meter (LC)
2022-06-30,Los Angeles,Lead (TSP) LC,0.01013,Long Beach (South),Long Beach,California,37,33.7924,-118.1753,Micrograms/cubic meter (LC)
2022-06-30,Riverside,Lead (TSP) LC,0.0045,Rubidoux,Rubidoux,California,65,33.9996,-117.416,Micrograms/cubic meter (LC)
2022-06-30,San Bernardino,Lead (TSP) LC,0.0057,San Bernardino,San Bernardino,California,71,34.1067,-117.2741,Micrograms/cubic meter (LC)
2022-06-30,San Diego,Lead (TSP) LC,0.0121,Palomar Airport,Carlsbad,California,73,33.1309,-117.2724,Micrograms/cubic meter (LC)
2022-06-30,Santa Clara,Lead (TSP) LC,0.0144,Reid Hillview Airport,San Jose,California,85,37.3298,-121.8154,Micrograms/cubic meter (LC)
2022-09-30,Los Angeles,Lead (TSP) LC,0.0091,Compton,Compton,California,37,33.9014,-118.205,Micrograms/cubic meter (LC)
2022-09-30,Riverside,Lead (TSP) LC,0.0044,Rubidoux,Rubidoux,California,65,33.9996,-117.416,Micrograms/cubic meter (LC)
2022-09-30,San Bernardino,Lead (TSP) LC,0.0061,San Bernardino,San Bernardino,California,71,34.1067,-117.2741,Micrograms/cubic meter (LC)
2022-09-30,San Diego,Lead (TSP) LC,0.012,Palomar Airport,Carlsbad,California,73,33.1309,-117.2724,Micrograms/cubic meter (LC)
2022-09-30,Santa Clara,Lead (TSP) LC,0.016,Reid Hillview Airport,San Jose,California,85,37.3298,-121.8154,Micrograms/cubic meter (LC)
2022-12-31,Los Angeles,Lead (TSP) LC,0.008125,Los Angeles-North Main Street,Los Angeles,California,37,34.0666,-118.2269,Micrograms/cubic meter (LC)
2022-12-31,Riverside,Lead (TSP) LC,0.0051,Rubidoux,Rubidoux,California,65,33.9996,-117.416,Micrograms/cubic meter (LC)
