Year,County Code,County,CO 2nd Max 1-hr,CO 2nd Max 8-hr,Lead Max 3-Mo Avg,NO2 98th Percentile 1-hr,NO2 Mean 1-hr,Ozone 2nd Max 1-hr,Ozone 4th Max 8-hr,PM10 2nd Max 24-hr,PM10 Mean 24-hr,PM2.5 98th Percentile 24-hr,PM2.5 Weighted Mean 24-hr,SO2 2nd Max 24-hr,SO2 99th Percentile 1-hr,SO2 Mean 1-hr
2020,6007,"Butte County, CA",7.2,3.6,,27.0,5.0,0.1,0.074,325.0,36.0,92.0,16.0,,,
2020,6009,"Calaveras County, CA",,,,,,0.1,0.073,162.0,24.0,97.0,12.6,,,
2020,6011,"Colusa County, CA",,,,,,0.08,0.052,210.0,36.0,,,,,
2020,6013,"Contra Costa County, CA",2.7,1.8,,34.0,7.0,0.1,0.069,43.0,20.0,66.0,11.1,4.0,14.0,2.0
2020,6017,"El Dorado County, CA",,,,,,0.11,0.086,169.0,18.0,,,,,
2020,6019,"Fresno County, CA",4.1,2.4,,54.0,20.0,0.13,0.09,320.0,60.0,124.0,20.3,2.0,5.0,0.0
2020,6021,"Glenn County, CA",,,,,,0.07,0.056,152.0,28.0,,,,,
2020,6023,"Humboldt County, CA",1.7,1.5,,16.0,2.0,0.05,0.04,131.0,20.0,,,1.0,1.0,0.0
2020,6025,"Imperial County, CA",4.6,2.7,,51.0,10.0,0.11,0.08,190.0,53.0,24.0,9.8,2.0,7.0,0.0
2020,6027,"Inyo County, CA",2.1,1.4,,,,0.1,0.072,526.0,37.0,124.0,11.8,0.0,1.0,0.0
2020,6029,"Kern County, CA",1.6,1.4,,53.0,13.0,0.13,0.101,236.0,59.0,144.0,22.5,,,
2020,6031,"Kings County, CA",,,,44.0,9.0,0.1,0.084,323.0,67.0,87.0,19.9,,,
2020,6033,"Lake County, CA",,,,,,0.07,0.059,114.0,20.0,85.0,9.3,,,
2020,6037,"Los Angeles County, CA",3.7,2.8,0.02,86.0,23.0,0.17,0.124,169.0,29.0,53.0,15.9,1.0,3.0,0.0
2020,6039,"Madera County, CA",,,,29.0,6.0,0.11,0.085,314.0,49.0,88.0,19.1,,,
2020,6041,"Marin County, CA",2.0,1.6,,36.0,8.0,0.07,0.06,39.0,16.0,41.0,8.6,,,
2020,6043,"Mariposa County, CA",,,,,,0.11,0.091,484.0,33.0,,,,,
2020,6045,"Mendocino County, CA",,,,,,0.09,0.059,187.0,15.0,62.0,12.4,,,
2020,6047,"Merced County, CA",,,,31.0,7.0,0.1,0.079,123.0,41.0,78.0,15.5,,,
2020,6051,"Mono County, CA",,,,,,,,1955.0,73.0,466.0,42.1,,,
2020,6053,"Monterey County, CA",1.6,1.2,,25.0,4.0,0.07,0.057,218.0,27.0,64.0,8.8,,,
2020,6055,"Napa County, CA",3.8,2.2,,26.0,5.0,0.09,0.06,81.0,18.0,57.0,10.4,,,
2020,6057,"Nevada County, CA",,,,,,0.09,0.08,,,,,,,
2020,6059,"Orange County, CA",2.3,1.8,,53.0,19.0,0.15,0.09,120.0,26.0,45.0,12.3,,,
2020,6061,"Placer County, CA",,,,,6.0,0.11,0.083,213.0,27.0,93.0,12.4,,,
