County Code,County,CO 2nd Max 1-hr,CO 2nd Max 8-hr,NO2 98th Percentile 1-hr,NO2 Mean 1-hr,Ozone 2nd Max 1-hr,Ozone 4th Max 8-hr,SO2 99th Percentile 1-hr,SO2 2nd Max 24-hr,SO2 Mean 1-hr,PM2.5 98th Percentile 24-hr,PM2.5 Weighted Mean 24-hr,PM10 2nd Max 24-hr,PM10 Mean 24-hr,Lead Max 3-Mo Avg,Year
6031,"Kings County, CA",,,44,9,0.1,0.084,,,,87,19.9,323,67,,2020
6033,"Lake County, CA",,,,,0.07,0.059,,,,85,9.3,114,20,,2020
6037,"Los Angeles County, CA",3.7,2.8,86,23,0.17,0.124,3,1,0,53,15.9,169,29,0.02,2020
6039,"Madera County, CA",,,29,6,0.11,0.085,,,,88,19.1,314,49,,2020
6041,"Marin County, CA",2,1.6,36,8,0.07,0.06,,,,41,8.6,39,16,,2020
6043,"Mariposa County, CA",,,,,0.11,0.091,,,,,,484,33,,2020
6045,"Mendocino County, CA",,,,,0.09,0.059,,,,62,12.4,187,15,,2020
6047,"Merced County, CA",,,31,7,0.1,0.079,,,,78,15.5,123,41,,2020
6051,"Mono County, CA",,,,,,,,,,466,42.1,1955,73,,2020
6053,"Monterey County, CA",1.6,1.2,25,4,0.07,0.057,,,,64,8.8,218,27,,2020
6055,"Napa County, CA",3.8,2.2,26,5,0.09,0.06,,,,57,10.4,81,18,,2020
6057,"Nevada County, CA",,,,,0.09,0.08,,,,,,,,,2020
6059,"Orange County, CA",2.3,1.8,53,19,0.15,0.09,,,,45,12.3,120,26,,2020
6061,"Placer County, CA",,,,6,0.11,0.083,,,,93,12.4,213,27,,2020
6063,"Plumas County, CA",,,,,,,,,,76,21.4,,,,2020
6065,"Riverside County, CA",1.8,1.5,54,15,0.14,0.104,2,1,0,44,15.7,298,55,,2020
6067,"Sacramento County, CA",2.3,2,46,11,0.1,0.078,3,1,0,123,16.1,231,32,,2020
6069,"San Benito County, CA",,,,,0.09,0.069,,,,59,8.9,116,23,,2020
6071,"San Bernardino County, CA",5.3,1.4,78,29,0.16,0.125,5,3,1,43,15.2,205,41,,2020
6073,"San Diego County, CA",3.1,1.7,49,14,0.11,0.082,1,0,0,75,20.5,158,52,0.02,2020
6075,"San Francisco County, CA",1.7,1.5,41,9,0.07,0.048,,,,40,10.5,58,22,,2020
6077,"San Joaquin County, CA",2.6,1.7,54,11,0.09,0.068,,,,92,14.8,226,38,,2020
6079,"San Luis Obispo County, CA",,,26,4,0.09,0.08,2,1,0,63,9.8,280,28,,2020
6081,"San Mateo County, CA",1.8,1.5,38,8,0.09,0.054,,,,46,9.8,,,,2020
6083,"Santa Barbara County, CA",2.4,1,28,5,0.1,0.072,3,2,0,37,9.3,103,25,,2020
6085,"Santa Clara County, CA",2.1,1.8,49,14,0.1,0.069,2,1,0,56,12.5,91,25,,2020
6087,"Santa Cruz County, CA",,,,,0.07,0.048,,,,88,11,,,,2020
6089,"Shasta County, CA",,,,,0.09,0.069,,,,,,100,23,,2020
6093,"Siskiyou County, CA",,,,,0.07,0.06,,,,85,10.9,,,,2020
6095,"Solano County, CA",2.2,1.7,42,7,0.09,0.066,4,2,1,52,12,,,,2020
6097,"Sonoma County, CA",1.6,1.6,25,4,0.07,0.052,,,,34,8.3,125,16,,2020
6099,"Stanislaus County, CA",2.2,1.8,41,9,0.1,0.08,,,,87,15.5,216,42,,2020
6101,"Sutter County, CA",,,38,6,0.1,0.083,,,,,,246,27,,2020
6103,"Tehama County, CA",,,,,0.09,0.074,,,,87,13.2,151,24,,2020
6107,"Tulare County, CA",,,48,9,0.12,0.095,,,,,,270,60,,2020
6109,"Tuolumne County, CA",,,,,0.09,0.08,,,,,,,,,2020
6111,"Ventura County, CA",,,34,7,0.1,0.085,,,,32,7.9,162,25,,2020
6113,"Yolo County, CA",,,24,4,0.09,0.066,,,,,,,,,2020
6001,"Alameda County, CA",2,1.7,40,12,0.1,0.073,3,1,0,23,8.7,,,,2021
6005,"Amador County, CA",,,,,0.09,0.071,,,,,,,,,2021
6007,"Butte County, CA",1.7,1.3,22,5,0.09,0.074,,,,51,11.1,129,26,,2021
6009,"Calaveras County, CA",,,,,0.09,0.072,,,,31,8.4,94,19,,2021
6011,"Colusa County, CA",,,,,0.07,0.061,,,,56,10,118,28,,2021
6013,"Contra Costa County, CA",1.7,1,31,6,0.09,0.074,11,4,1,22,9.1,35,19,,2021
6017,"El Dorado County, CA",,,,,0.1,0.08,,,,,,,,,2021
6019,"Fresno County, CA",2.6,1.8,56,19,0.12,0.09,6,2,0,54,17.2,230,43,,2021
6021,"Glenn County, CA",,,,,0.08,0.064,,,,,,145,24,,2021
6023,"Humboldt County, CA",0.8,0.6,,2,0.05,0.041,1,1,0,15,6.9,58,20,,2021
6025,"Imperial County, CA",3.8,2.9,45,10,0.11,0.08,6,2,0,29,10.3,234,52,,2021
6027,"Inyo County, CA",0.9,0.8,,,0.09,0.075,1,0,0,77,13.4,262,28,,2021
6029,"Kern County, CA",1.9,1.1,50,23,0.11,0.094,,,,57,20,242,49,,2021
6031,"Kings County, CA",,,41,8,0.1,0.076,,,,56,15.6,265,58,,2021
6033,"Lake County, CA",,,,,0.06,0.054,,,,34,6.3,49,16,,2021
6037,"Los Angeles County, CA",4.3,3.4,76,25,0.12,0.097,4,1,0,49,13.8,113,33,0.06,2021
6039,"Madera County, CA",,,26,6,0.1,0.085,,,,47,12.4,198,42,,2021
6041,"Marin County, CA",1.2,0.8,33,6,0.08,0.06,,,,18,7,27,14,,2021
6043,"Mariposa County, CA",,,,,0.09,0.081,,,,,,79,17,,2021
6045,"Mendocino County, CA",,,,,0.07,0.061,,,,32,9,44,13,,2021
6047,"Merced County, CA",,,33,7,0.1,0.079,,,,41,11.3,,,,2021
6051,"Mono County, CA",,,,,,,,,,43,8.4,1230,28,,2021
