County Code,County,CO 2nd Max 1-hr,CO 2nd Max 8-hr,NO2 98th Percentile 1-hr,NO2 Mean 1-hr,Ozone 2nd Max 1-hr,Ozone 4th Max 8-hr,SO2 99th Percentile 1-hr,SO2 2nd Max 24-hr,SO2 Mean 1-hr,PM2.5 98th Percentile 24-hr,PM2.5 Weighted Mean 24-hr,PM10 2nd Max 24-hr,PM10 Mean 24-hr,Lead Max 3-Mo Avg,Year
6073,"San Diego County, CA",3.2,2.2,60,13,0.1,0.084,,,,33,13.8,151,44,0.02,2024
6075,"San Francisco County, CA",1.1,0.9,,,,,,,,,,,,,2024
6077,"San Joaquin County, CA",1,0.7,23,4,0.1,0.068,,,,33,10.1,82,25,,2024
6079,"San Luis Obispo County, CA",,,24,3,0.08,0.074,1,0,0,16,5.6,96,20,,2024
6081,"San Mateo County, CA",1.9,0.8,,,,,,,,,,,,,2024
6083,"Santa Barbara County, CA",1.2,0.8,6,2,0.07,0.065,3,2,1,16,7.3,70,21,,2024
6085,"Santa Clara County, CA",1.4,1.3,,,,,,,,28,9.2,,,0.02,2024
6087,"Santa Cruz County, CA",,,,,0.06,0.05,,,,16,6.2,,,,2024
6089,"Shasta County, CA",,,,,0.08,0.065,,,,24,6,30,10,,2024
6093,"Siskiyou County, CA",,,,,0.07,0.066,,,,20,5.5,,,,2024
6095,"Solano County, CA",4.9,4.9,,,0.07,0.058,,,,,,25,11,,2024
6097,"Sonoma County, CA",1,0.7,,,,,,,,,,26,9,,2024
6099,"Stanislaus County, CA",1.6,1.2,34,7,0.1,0.084,,,,34,9.3,106,28,,2024
6101,"Sutter County, CA",,,30,5,0.08,0.069,,,,24,8.1,56,19,,2024
6103,"Tehama County, CA",,,,,0.08,0.068,,,,18,5.9,55,17,,2024
6107,"Tulare County, CA",,,,7,0.11,0.094,,,,40,13,127,40,,2024
6109,"Tuolumne County, CA",,,,,0.08,0.071,,,,,,,,,2024
6111,"Ventura County, CA",,,30,7,0.09,0.076,,,,14,7.3,89,20,,2024
6113,"Yolo County, CA",,,17,3,0.07,0.064,,,,24,7.8,51,16,,2024
6007,"Butte County, CA",1.2,0.9,,,,,,,,,,,,,2025
6019,"Fresno County, CA",1.9,1.2,,,,,,,,,,,,,2025
6027,"Inyo County, CA",2.2,0.5,,,,,,,,,,,,,2025
6029,"Kern County, CA",0.5,0.3,,,,,,,,,,,,,2025
6037,"Los Angeles County, CA",6.7,5.4,,,,,,,,,,,,,2025
6053,"Monterey County, CA",0.8,0.6,,,,,,,,,,,,,2025
6059,"Orange County, CA",2.0,1.3,,,,,,,,,,,,,2025
6065,"Riverside County, CA",2.3,1.3,,,,,,,,,,,,,2025
6067,"Sacramento County, CA",1.3,1.0,,,,,,,,,,,,,2025
6071,"San Bernardino County, CA",1.9,1.2,,,,,,,,,,,,,2025
6083,"Santa Barbara County, CA",1.1,0.8,,,,,,,,,,,,,2025
6099,"Stanislaus County, CA",1.2,1.0,,,,,,,,,,,,,2025
