"County Code","County","CO 2nd Max 1-hr","CO 2nd Max 8-hr","NO2 98th Percentile 1-hr","NO2 Mean 1-hr","Ozone 2nd Max 1-hr","Ozone 4th Max 8-hr","SO2 99th Percentile 1-hr","SO2 2nd Max 24-hr","SO2 Mean 1-hr","PM2.5 98th Percentile 24-hr","PM2.5 Weighted Mean 24-hr","PM10 2nd Max 24-hr","PM10 Mean 24-hr","Lead Max 3-Mo Avg"
"06001","Alameda County, CA","2.2","1.7","43","13","0.1","0.068","5","1","0","24","9.4",".",".","."
"06005","Amador County, CA",".",".",".",".","0.09","0.064",".",".",".",".",".",".",".","."
"06007","Butte County, CA","1.4","1.2","26","5","0.08","0.067",".",".",".","27","7.7","61","19","."
"06009","Calaveras County, CA",".",".",".",".","0.08","0.061",".",".",".","17","6.1","38","11","."
"06011","Colusa County, CA",".",".",".",".","0.07","0.057",".",".",".","21","7.2","72","20","."
"06013","Contra Costa County, CA","1.2","0.9","32","8","0.08","0.067","15","4","2","26","9.9","38","19","."
"06017","El Dorado County, CA",".",".",".",".","0.09","0.074",".",".",".",".",".","96","14","."
"06019","Fresno County, CA","2.6","2.1","53","20","0.1","0.081",".",".",".","43","14.8","172","49","."
"06021","Glenn County, CA",".",".",".",".","0.08","0.063",".",".",".",".",".","101","15","."
"06023","Humboldt County, CA","1.5","0.9","15","2","0.04","0.035","1","1","0","20","6.8","53","17","."
"06025","Imperial County, CA","4","3.1","49","10","0.1","0.075","6","2","0","37","11","765","59","."
"06027","Inyo County, CA","0.3","0.3",".",".","0.07","0.069","1","0","0","32","9.7","700","29","."
"06029","Kern County, CA","1.4","0.9","55","22","0.12","0.087",".",".",".","49","16.1","243","46","."
"06031","Kings County, CA",".",".","41","8","0.09","0.075",".",".",".","43","14.7","247","54","."
"06033","Lake County, CA",".",".",".",".","0.06","0.053",".",".",".","10","4.3","22","11","."
"06037","Los Angeles County, CA","3.4","2.7","76","25","0.12","0.095","4","1","0","33","12.3","92","35","0.04"
"06039","Madera County, CA",".",".","28","6","0.09","0.078",".",".",".","32","10.4","131","35","."
"06041","Marin County, CA","1.3","0.8","33","7","0.07","0.053",".",".",".","20","6.9","28","13","."
"06043","Mariposa County, CA",".",".",".",".","0.09","0.079",".",".",".",".",".","144","23","."
"06045","Mendocino County, CA",".",".",".",".","0.06","0.05",".",".",".","26","11","50","16","."
"06047","Merced County, CA",".",".","32","7","0.1","0.072",".",".",".","31","10.5",".",".","."
"06051","Mono County, CA",".",".",".",".",".",".",".",".",".","19","6.9","94","19","."
"06053","Monterey County, CA","6.6","1.3",".","3","0.07","0.054",".",".",".","16","6.8","62","23","."
"06057","Nevada County, CA",".",".",".",".","0.09","0.074",".",".",".","31","6",".",".","."
"06059","Orange County, CA","2.4","1.8","52","19","0.09","0.07",".",".",".","22","9.9","83","22","."
"06061","Placer County, CA",".",".","33","6","0.09","0.075",".",".",".","44","7.9","61","17","."
"06065","Riverside County, CA","1.6","1.2","48","13","0.12","0.095","3","1","1","63","12.5","1547","70","0.01"
"06067","Sacramento County, CA","1.8","1.5","44","8","0.09","0.074",".",".",".","37","10.5","57","22","."
"06069","San Benito County, CA",".",".",".",".","0.08","0.064",".",".",".","12","5","74","18","."
"06071","San Bernardino County, CA","1.7","1.3","67","29","0.14","0.105","2","1","0","28","12.2","275","38","0.01"
"06073","San Diego County, CA","1.7","1.2","50","15","0.1","0.079","1","0","0","17","8.9","40","23","0.01"
"06075","San Francisco County, CA","1.4","0.9","41","9","0.05","0.044",".",".",".","20","6.8","28","15","."
"06077","San Joaquin County, CA","2.5","1.7","39","8","0.09","0.067",".",".",".","35","10.2","93","29","."
"06079","San Luis Obispo County, CA",".",".","17","2","0.08","0.069","3","2","1","23","9.1","100","29","."
"06081","San Mateo County, CA","1.8","1","38","8","0.08","0.053",".",".",".","20","6.8",".",".","."
"06083","Santa Barbara County, CA","0.9","0.7","20","3","0.07","0.06","2","2","1","16","8","53","21","."
"06085","Santa Clara County, CA","1.8","1.5","44","13","0.09","0.066","2","1","0","28","10.1","41","20","0.04"
"06087","Santa Cruz County, CA",".",".",".",".","0.06","0.047",".",".",".","16","5.5",".",".","."
"06089","Shasta County, CA",".",".",".",".","0.08","0.071",".",".",".",".",".",".",".","."
"06093","Siskiyou County, CA",".",".",".",".","0.08","0.055",".",".",".","48","9.4",".",".","."
"06095","Solano County, CA","1.9","1.6","39","7","0.08","0.063","5","3","1","24","8.2","30","12","."
"06097","Sonoma County, CA","0.9","0.7","25","4","0.06","0.05",".",".",".","17","6.4","36","12","."
"06099","Stanislaus County, CA","1.8","1.4","38","9","0.1","0.077",".",".",".","36","13.4","79","31","."
"06101","Sutter County, CA",".",".","37","7","0.08","0.069",".",".",".","28","10.7","71","21","."
"06103","Tehama County, CA",".",".",".",".","0.08","0.07",".",".",".","19","5.8","40","15","."
"06107","Tulare County, CA",".",".",".","8","0.11","0.09",".",".",".","41","14.9",".",".","."
"06111","Ventura County, CA",".",".","30","6","0.09","0.078",".",".",".","17","8.2","53","23","."
"06113","Yolo County, CA",".",".",".","4","0.08","0.068",".",".",".","29","8.3","54","20","."
