"County Code","County","CO 2nd Max 1-hr","CO 2nd Max 8-hr","NO2 98th Percentile 1-hr","NO2 Mean 1-hr","Ozone 2nd Max 1-hr","Ozone 4th Max 8-hr","SO2 99th Percentile 1-hr","SO2 2nd Max 24-hr","SO2 Mean 1-hr","PM2.5 98th Percentile 24-hr","PM2.5 Weighted Mean 24-hr","PM10 2nd Max 24-hr","PM10 Mean 24-hr","Lead Max 3-Mo Avg"
"06001","Alameda County, CA","5.6","1.7","48","15","0.1","0.072","9","2","0","19","9.4",".",".","."
"06005","Amador County, CA",".",".",".",".","0.08","0.067",".",".",".",".",".",".",".","."
"06007","Butte County, CA","1.5","1","35","7","0.07","0.063",".",".",".",".",".","53","20","."
"06009","Calaveras County, CA",".",".",".",".","0.08","0.066",".",".",".","13","5.5","43","13","."
"06011","Colusa County, CA",".",".",".",".","0.06","0.053",".",".",".","24","7","110","28","."
"06013","Contra Costa County, CA","1.7","0.9","34","7","0.09","0.069","15","4","1","17","7.8","53","15","."
"06017","El Dorado County, CA",".",".",".",".","0.09","0.071",".",".",".",".",".","43","14","."
"06019","Fresno County, CA","1.8","1.4","63","20","0.1","0.08","6","2","0","37","11.7","234","39","."
"06021","Glenn County, CA",".",".",".",".","0.07","0.058",".",".",".",".",".","115","20","."
"06023","Humboldt County, CA","1","0.8","17","2","0.05","0.046","1","1","0","18","6.8","44","15","."
"06025","Imperial County, CA","4.3","3.1","49","9","0.11","0.08","5","2","0","27","10.8","162","44","."
"06027","Inyo County, CA","1.3","0.6",".",".","0.07","0.069","0","0","0","23","5.2","529","24","."
"06029","Kern County, CA","1.2","0.8","56","21","0.1","0.084",".",".",".","47","13","382","54","."
"06031","Kings County, CA",".",".","49","8","0.09","0.076",".",".",".","47","12.3","469","49","."
"06033","Lake County, CA",".",".",".",".","0.06","0.051",".",".",".","8","3.1","21","10","."
"06037","Los Angeles County, CA","3.8","2.9","78","23","0.12","0.101","8","2","0","30","13.4","159","29","0.02"
"06039","Madera County, CA",".",".","29","6","0.09","0.075",".",".",".","31","9.7","155","36","."
"06041","Marin County, CA","1.3","0.8","40","8","0.08","0.059",".",".",".","14","6.4","30","13","."
"06043","Mariposa County, CA",".",".",".",".","0.08","0.068",".",".",".",".",".","124","20","."
"06045","Mendocino County, CA",".",".",".",".","0.06","0.051",".",".",".","16","6","38","12","."
"06047","Merced County, CA",".",".","34","6","0.09","0.072",".",".",".","30","9.6","80","29","."
"06051","Mono County, CA",".",".",".",".",".",".",".",".",".","33","8.5","3427","62","."
"06053","Monterey County, CA","4.5","0.8","26","4","0.07","0.058",".",".",".","13","5.7","76","19","."
"06055","Napa County, CA","1.2","0.8","29","5","0.08","0.06",".",".",".","14","5.9","29","13","."
"06057","Nevada County, CA",".",".",".",".","0.08","0.072",".",".",".","16","6.3",".",".","."
"06059","Orange County, CA","2.5","1.5","50","19","0.1","0.082",".",".",".","24","9.4","105","24","."
"06061","Placer County, CA",".",".","43","7","0.08","0.067",".",".",".","21","7.2","54","14","."
"06063","Plumas County, CA",".",".",".",".",".",".",".",".",".","27","10.8",".",".","."
"06065","Riverside County, CA","1.8","1.2","53","14","0.13","0.096","1","1","0","36","12.7","243","47","0.01"
"06067","Sacramento County, CA","1.6","1.2","55","12","0.1","0.071","3","1","0","30","8.4","90","22","."
"06069","San Benito County, CA",".",".",".",".","0.08","0.062",".",".",".","11","4.9","75","17","."
"06071","San Bernardino County, CA","2.2","1.1","74","29","0.14","0.106","7","3","2","36","15.5","165","35","0.01"
"06073","San Diego County, CA","3.5","1.7","47","14","0.1","0.076","1","0","0","27","13.7","153","32","0.02"
"06075","San Francisco County, CA","1.2","0.9","46","10","0.09","0.053",".",".",".","18","7.7","34","14","."
"06077","San Joaquin County, CA","2.2","1.3","58","12","0.09","0.069",".",".",".","34","9.4","116","24","."
"06079","San Luis Obispo County, CA",".",".","27","4","0.07","0.07","1","1","0","20","7","129","25","."
"06081","San Mateo County, CA","2","1","44","9","0.08","0.054",".",".",".","17","7",".",".","."
"06083","Santa Barbara County, CA","2.3","0.6","26","5","0.08","0.068","3","2","1","16","6.8","87","22","."
"06085","Santa Clara County, CA","2","1.5","52","14","0.09","0.064","2","1","0","25","9.1","53","18","0.07"
"06087","Santa Cruz County, CA",".",".",".",".","0.07","0.052",".",".",".","13","6.5",".",".","."
"06089","Shasta County, CA",".",".",".",".","0.07","0.063",".",".",".","23","6.7","32","14","."
"06093","Siskiyou County, CA",".",".",".",".","0.07","0.056",".",".",".","20","5.9",".",".","."
"06095","Solano County, CA","1.9","1.5","41","7","0.09","0.066","4","2","0","19","8.8",".",".","."
"06097","Sonoma County, CA","1.2","0.9","28","4",".",".",".",".",".","14","5.7","73","13","."
"06099","Stanislaus County, CA","1.7","1.2","44","9","0.09","0.079",".",".",".","36","10.6","104","30","."
"06101","Sutter County, CA",".",".","40","6","0.07","0.065",".",".",".","27","8.4","78","22","."
"06103","Tehama County, CA",".",".",".",".","0.07","0.066",".",".",".","15","5.4","33","14","."
"06107","Tulare County, CA",".",".","55","10","0.1","0.083",".",".",".","46","12.9","284","46","."
"06109","Tuolumne County, CA",".",".",".",".","0.08","0.069",".",".",".",".",".",".",".","."
"06111","Ventura County, CA",".",".","34","7","0.09","0.072",".",".",".","17","7.6","163","24","."
"06113","Yolo County, CA",".",".","24","4","0.08","0.065",".",".",".",".",".","72","20","."
